virus_name,refseq_id,host_name,virus_lineage,evidence
Klebsiella phage KX1,PV231330,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage KXP,ON755175,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Slopekvirinae; Drulisvirus; Drulisvirus KXP,RefSeq
Klebsiella phage KYP,ON755176,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autonotataviridae; Melnykvirinae; Cullenvirus; Cullenvirus KYP,RefSeq
Klebsiella phage KZag1,OR502445,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pantevenvirales; Ackermannviridae; Taipeivirus; unclassified Taipeivirus,RefSeq
Klebsiella phage L2_1,PQ303613,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autotranscriptaviridae; Studiervirinae; Przondovirus; unclassified Przondovirus,RefSeq
Klebsiella phage LAPAZ,PP706156,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Drexlerviridae; unclassified Drexlerviridae,RefSeq
Klebsiella phage LASTA,NC_054965,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lastavirus; Lastavirus lasta,RefSeq
Klebsiella phage LF20,MW417503,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Drexlerviridae; Webervirus; Webervirus LF20,RefSeq
Klebsiella phage LPKP23,PV112478,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage LPKP33,PV112477,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Jameshumphriesvirinae; Jedunavirus; unclassified Jedunavirus,RefSeq
Klebsiella phage M1-DAzarov,PQ758383,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Klebsiella phage M2-DAzarov,PQ758384,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Klebsiella phage Madison,PQ368523,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage MagicalPorter,OR896857,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Drexlerviridae; Webervirus; unclassified Webervirus,RefSeq
Klebsiella phage Magnus,NC_049462,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pantevenvirales; Ackermannviridae; Taipeivirus; Taipeivirus magnus,"Literature, RefSeq"
Klebsiella phage Marfa,NC_048798,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Marfavirus; Marfavirus marfa,"Literature, RefSeq"
Klebsiella phage MassiveIgloo,OR896853,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Drexlerviridae; Webervirus; unclassified Webervirus,RefSeq
Klebsiella phage Matisse,NC_028750,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pantevenvirales; Straboviridae; Slopekvirus; Slopekvirus matisse,"Literature, RefSeq"
Klebsiella phage May,NC_047900,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pantevenvirales; Ackermannviridae; Taipeivirus; Taipeivirus may,"Literature, RefSeq"
Klebsiella phage MegaDucksbill,OR896851,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autotranscriptaviridae; Studiervirinae; Teetrevirus; Teetrevirus megaducksbill,RefSeq
Klebsiella phage Menlow,NC_047901,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pantevenvirales; Ackermannviridae; Taipeivirus; Taipeivirus menlow,"Literature, RefSeq"
Klebsiella phage Metamorpho,MT701588,Klebsiella aerogenes,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pantevenvirales; Straboviridae; Tevenvirinae; Jiaodavirus; unclassified Jiaodavirus,RefSeq
Klebsiella phage MEW1,NC_071135,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Jameshumphriesvirinae; Sircambvirus; Sircambvirus MEW1,RefSeq
Klebsiella phage Mexia,PQ368522,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage MezzoGao,NC_047850,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Drexlerviridae; Webervirus; Webervirus mezzogao,"Literature, RefSeq"
Klebsiella phage mfs,OP611406,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Drexlerviridae; Webervirus; Webervirus mfs,RefSeq
Klebsiella phage MHM-TASP32,PV588654,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage Miami,NC_070950,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Chimalliviridae; Miamivirus; Miamivirus miami,RefSeq
Klebsiella phage Mineola,NC_055748,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pantevenvirales; Straboviridae; Tevenvirinae; Jiaodavirus; Jiaodavirus mineola,"Literature, RefSeq"
Klebsiella phage Miro,NC_041981,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pantevenvirales; Straboviridae; Slopekvirus; unclassified Slopekvirus; Klebsiella virus Miro,"Literature, RefSeq"
Klebsiella phage MKP-1,PP627509,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Klebsiella phage MMBB,MT894005,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Drexlerviridae; Webervirus; Webervirus MMBB,RefSeq
Klebsiella phage MT09,PV610698,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage mtp23,OX335421,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Drexlerviridae; Webervirus; Webervirus mtp23,Literature
Klebsiella phage mtp24,OX335371,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Drexlerviridae; Webervirus; unclassified Webervirus,Literature
Klebsiella phage mtp25,OX335391,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Drexlerviridae; Webervirus; unclassified Webervirus,Literature
Klebsiella phage mtp27,OX335384,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Drexlerviridae; Webervirus; unclassified Webervirus,Literature
Klebsiella phage mtp28,OX335385,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Drexlerviridae; Webervirus; unclassified Webervirus,Literature
Klebsiella phage Muenster,MT708547,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Alcyoneusvirus; unclassified Alcyoneusvirus,RefSeq
Klebsiella phage Mulock,MN098327,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Klebsiella phage MY01,PP056534,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Schitoviridae; Humphriesvirinae; Pylasvirus; unclassified Pylasvirus,RefSeq
Klebsiella phage MY02,PP146563,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Marfavirus; unclassified Marfavirus,RefSeq
Klebsiella phage myPSH1235,NC_047944,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Slopekvirinae; Drulisvirus; Drulisvirus myPSH1235,RefSeq
Klebsiella phage N1M2,NC_070936,Klebsiella aerogenes,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Chimalliviridae; Nimduovirus; Nimduovirus N1M2,RefSeq
Klebsiella phage N22,PV199477,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Drexlerviridae; Webervirus; unclassified Webervirus,RefSeq
Klebsiella phage NJR15,NC_048044,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Drexlerviridae; Webervirus; Webervirus TAH8,RefSeq
Klebsiella phage NJS1,NC_048024,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Drexlerviridae; Webervirus; Webervirus NJS1,"Literature, RefSeq"
Klebsiella phage NJS2,NC_048043,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Drexlerviridae; Webervirus; Webervirus NJS2; Klebsiella virus NJS2,RefSeq
Klebsiella phage NJS3,MH633486,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Drexlerviridae; Webervirus; Webervirus TAH8,RefSeq
Klebsiella phage NK20,OP013026,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autotranscriptaviridae; Studiervirinae; Przondovirus; Przondovirus NK20,RefSeq
Klebsiella phage NKA196,OR287808,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Slopekvirinae; Drulisvirus; unclassified Drulisvirus,RefSeq
Klebsiella phage NL_ZS_1,MT813140,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autotranscriptaviridae; Studiervirinae; Przondovirus; Przondovirus NLZS1,RefSeq
Klebsiella phage NL_ZS_2,MT813141,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autotranscriptaviridae; Studiervirinae; Przondovirus; Przondovirus NLZS2; Przondovirus SHKp152234,RefSeq
Klebsiella phage NL_ZS_3,MT813142,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autotranscriptaviridae; Studiervirinae; Teetrevirus; Teetrevirus NLZS3,RefSeq
Klebsiella phage NNA-G4,OR287810,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Slopekvirinae; Drulisvirus; unclassified Drulisvirus,RefSeq
Klebsiella phage NPat,OM938991,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Drexlerviridae; Webervirus; Webervirus NPat,RefSeq
Klebsiella phage NTUH-K2044-K1-1,NC_025418,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Slopekvirinae; Drulisvirus; Drulisvirus K244,"Literature, UniProt"
Klebsiella phage NU-KP11,OR644643,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pantevenvirales; Straboviridae; Slopekvirus; unclassified Slopekvirus,RefSeq
Klebsiella phage Olmo,PV425437,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pantevenvirales; Straboviridae; Pseudotevenvirus; unclassified Pseudotevenvirus,RefSeq
Klebsiella phage P-KP2,MT157285,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pantevenvirales; Straboviridae; Slopekvirus; unclassified Slopekvirus; Klebsiella virus PMBT1,RefSeq
Klebsiella phage P01,OR387546,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pantevenvirales; Ackermannviridae; Taipeivirus; unclassified Taipeivirus,RefSeq
Klebsiella phage P06,OR387547,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autotranscriptaviridae; Studiervirinae; Przondovirus; unclassified Przondovirus,RefSeq
Klebsiella phage P07,PV173012,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autotranscriptaviridae; Studiervirinae; Przondovirus; unclassified Przondovirus,RefSeq
Klebsiella phage P0957,PQ133594,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage P1,MZ598515,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Drexlerviridae; Webervirus; Webervirus P1,RefSeq
Klebsiella phage P1010,ON132389,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Slopekvirinae; Drulisvirus; Drulisvirus P1010,RefSeq
Klebsiella phage P1011,OR492660,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Drexlerviridae; Webervirus; unclassified Webervirus,RefSeq
Klebsiella phage P11,PQ963940,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Drexlerviridae; Webervirus; unclassified Webervirus,RefSeq
Klebsiella phage P12,PV173013,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autotranscriptaviridae; Studiervirinae; Przondovirus; unclassified Przondovirus,RefSeq
Klebsiella phage P13a,PQ133595,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage P16,PQ133596,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage P17,PQ133597,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage P18-100,PQ133598,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage P19,PV173014,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autotranscriptaviridae; Studiervirinae; Przondovirus; unclassified Przondovirus,RefSeq
Klebsiella phage P19-411,PQ133599,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage P19-618,PQ133600,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage P19-966,PQ133601,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage P20-768,PQ133602,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage P2234,PQ133603,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage P2328,PQ133604,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage P252,PP934443,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Slopekvirinae; Drulisvirus; unclassified Drulisvirus,RefSeq
Klebsiella phage P284,PP934444,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Slopekvirinae; Drulisvirus; unclassified Drulisvirus,RefSeq
Klebsiella phage P287,PP934445,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Drexlerviridae; Webervirus; unclassified Webervirus,RefSeq
Klebsiella phage P28_1,OR256020,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Drexlerviridae; Webervirus; unclassified Webervirus,RefSeq
Klebsiella phage P29,PQ133606,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage P293,PQ133605,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage P3a,PQ133607,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage P5010,PQ133608,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage P5026,PQ133609,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage P5054,PQ133610,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage P509,MT542697,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autotranscriptaviridae; Studiervirinae; Przondovirus; Przondovirus P509,RefSeq
Klebsiella phage P510,MT966872,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autotranscriptaviridae; Studiervirinae; Przondovirus; Przondovirus P510,RefSeq
Klebsiella phage P52_1,OR256021,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pantevenvirales; Straboviridae; Slopekvirus; unclassified Slopekvirus,RefSeq
Klebsiella phage P55,OR387886,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autotranscriptaviridae; Studiervirinae; Przondovirus; Przondovirus P55,RefSeq
Klebsiella phage P560,MT966873,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autotranscriptaviridae; Studiervirinae; Przondovirus; Przondovirus P560,"RefSeq, UniProt"
Klebsiella phage P60_7,OR256022,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pantevenvirales; Straboviridae; unclassified Straboviridae,RefSeq
Klebsiella phage P6169,PQ133611,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage P61_1,OR256023,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pantevenvirales; Straboviridae; Slopekvirus; unclassified Slopekvirus,RefSeq
Klebsiella phage P61_2,OR256024,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Klebsiella phage P6257,PQ133612,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage P6315,PQ133613,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage P6371,PQ133614,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage P6418,PQ133615,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage P6760,PQ133616,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage P67_1,OR256026,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autotranscriptaviridae; Studiervirinae; Przondovirus; Przondovirus P671,RefSeq
Klebsiella phage P6a,PQ133617,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage P700603,PQ133618,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage P7124,PQ133619,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage P7246,PQ133620,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage P7285,PQ133621,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage P7501,PQ133622,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage P7641,PQ133623,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage P79_1,OR256027,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autotranscriptaviridae; Studiervirinae; Przondovirus; Przondovirus P791,RefSeq
Klebsiella phage P7a,PQ133624,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage P85_2,OR256025,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Klebsiella phage P8734,PQ133625,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage P929,OK562429,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Slopekvirinae; Drulisvirus; Drulisvirus P929,RefSeq
Klebsiella phage p9676,PP646059,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage PA45-9,PQ133626,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage Patroon,MK608335,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autotranscriptaviridae; Studiervirinae; Teetrevirus; Teetrevirus patroon,RefSeq
Klebsiella phage PCCM_1119,PQ359445,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autotranscriptaviridae; Studiervirinae; Przondovirus; unclassified Przondovirus,RefSeq
Klebsiella phage PCCM_24,PQ288045,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autotranscriptaviridae; Studiervirinae; Przondovirus; unclassified Przondovirus,RefSeq
Klebsiella phage PCCM_KpP1172,OR290821,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autotranscriptaviridae; Studiervirinae; Przondovirus; unclassified Przondovirus,RefSeq
Klebsiella phage PCCM_KpP253,PQ738176,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage PCCM_KpPS2,PQ179271,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Jameshumphriesvirinae; Jedunavirus; unclassified Jedunavirus,RefSeq
Klebsiella phage PCCM_KpP_22,PQ231750,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Jameshumphriesvirinae; Jedunavirus; unclassified Jedunavirus,RefSeq
Klebsiella phage PEA128,OR287812,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autotranscriptaviridae; Studiervirinae; Przondovirus; unclassified Przondovirus,RefSeq
Klebsiella phage PG14,OM964875,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Drexlerviridae; Webervirus; unclassified Webervirus,RefSeq
Klebsiella phage ph168,OR684907,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autotranscriptaviridae; Studiervirinae; Przondovirus; unclassified Przondovirus,RefSeq
Klebsiella phage Pharr,NC_048175,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autotranscriptaviridae; Studiervirinae; Przondovirus; Przondovirus pharr,RefSeq
Klebsiella phage phi1_066006,PP889450,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage phi1_066007,PP889451,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage phi1_066008,PP889452,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage phi1_066009,PP889453,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage phi1_066010,PP889454,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage phi1_066011,PP889455,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage phi1_066012,PP889456,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage phi1_066062,PP952734,Klebsiella pneumoniae,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Klebsiella phage phi1_146001,PP889457,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage phi1_146002,PP889458,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage phi1_146003,PP889459,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage phi1_146005,PP889460,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage phi1_146006,PP889461,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage phi1_146007,PP889462,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage phi1_146008,PP889463,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage phi1_146010,PP889464,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage phi1_146013,PP889465,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage phi1_146015,PP889466,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage phi1_146017,PP889467,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage phi1_146018,PP889468,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage phi1_146019,PP889469,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage phi1_146020,PP889470,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage phi1_146021,PP889471,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage phi1_146022,PP889472,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage phi1_146023,PP889473,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage phi1_146024,PP889474,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage phi1_146025,PP889475,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage phi1_146026,PP889476,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage phi1_146027,PP889477,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage phi1_146028,PP889478,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
Klebsiella phage phi1_146029,PP889479,Klebsiella pneumoniae,Viruses; unclassified bacterial viruses,RefSeq
